Date,Time,DateTime,N/U,Count,y,bad1,bad2,bad3,bad4
11/1/2018,09:59:19,11/1/2018 09:59:19,460,690,555,,,,
11/1/2018,09:59:20,11/1/2018 09:59:20,460,685,555,,,,
11/1/2018,09:59:20,11/1/2018 09:59:20,460,688,555,,,,
11/1/2018,09:59:21,11/1/2018 09:59:21,460,685,554,,,,
11/1/2018,09:59:21,11/1/2018 09:59:21,460,684,554,,,,
11/1/2018,09:59:22,11/1/2018 09:59:22,460,687,554,,,,
11/1/2018,09:59:22,11/1/2018 09:59:22,460,689,554,,,,
11/1/2018,09:59:23,11/1/2018 09:59:23,460,686,554,,,,
11/1/2018,09:59:23,11/1/2018 09:59:23,460,690,554,,,,
11/1/2018,09:59:24,11/1/2018 09:59:24,460,688,554,,,,
11/1/2018,09:59:25,11/1/2018 09:59:25,460,682,554,,,,
11/1/2018,09:59:25,11/1/2018 09:59:25,460,684,554,,,,
11/1/2018,10:09:26,11/1/2018 10:09:26,460,658,555,,,,
11/1/2018,10:09:26,11/1/2018 10:09:26,460,657,555,,,,
11/1/2018,10:09:27,11/1/2018 10:09:27,460,652,555,,,,
11/1/2018,10:09:27,11/1/2018 10:09:27,460,664,555,,,,
11/1/2018,10:09:28,11/1/2018 10:09:28,460,658,555,,,,
11/1/2018,10:09:28,11/1/2018 10:09:28,460,657,554,,,,
11/1/2018,10:09:29,11/1/2018 10:09:29,460,652,554,,,,
11/1/2018,10:09:29,11/1/2018 10:09:29,460,660,554,,,,
11/1/2018,10:09:30,11/1/2018 10:09:30,460,659,554,,,,
11/1/2018,10:09:30,11/1/2018 10:09:30,460,657,554,,,,
11/1/2018,10:09:31,11/1/2018 10:09:31,460,659,554,,,,
11/1/2018,10:09:31,11/1/2018 10:09:31,460,661,554,,,,
11/1/2018,10:09:32,11/1/2018 10:09:32,460,659,554,,,,
11/1/2018,10:09:33,11/1/2018 10:09:33,460,654,554,,,,
11/1/2018,10:09:33,11/1/2018 10:09:33,460,658,554,,,,
11/1/2018,10:19:34,11/1/2018 10:19:34,460,667,555,,,,
11/1/2018,10:19:34,11/1/2018 10:19:34,460,673,555,,,,
11/1/2018,10:19:35,11/1/2018 10:19:35,460,668,554,,,,
11/1/2018,10:19:35,11/1/2018 10:19:35,460,669,554,,,,
11/1/2018,10:19:36,11/1/2018 10:19:36,460,672,554,,,,
11/1/2018,10:19:36,11/1/2018 10:19:36,460,671,554,,,,
11/1/2018,10:19:37,11/1/2018 10:19:37,460,670,554,,,,
11/1/2018,10:19:37,11/1/2018 10:19:37,460,675,554,,,,
11/1/2018,10:19:38,11/1/2018 10:19:38,460,670,554,,,,
11/1/2018,10:19:38,11/1/2018 10:19:38,460,671,554,,,,
11/1/2018,10:19:39,11/1/2018 10:19:39,460,676,554,,,,
11/1/2018,10:19:39,11/1/2018 10:19:39,460,672,553,,,,
11/1/2018,10:19:40,11/1/2018 10:19:40,460,669,553,,,,
11/1/2018,10:19:41,11/1/2018 10:19:41,460,676,553,,,,
